question,ground_truth,answer,exact_match,string_presence,rouge1,rouge2,rougeL,bleu,semantic_sim,ctx_avg_relevance,ctx_precision_proxy
What are the three types of machine learning?,"The three types of machine learning are supervised learning, unsupervised learning, and reinforcement learning.","The three types of machine learning are:
1. Supervised Learning
2. Unsupervised Learning
3. Reinforcement Learning",0.0,1.0,0.8667,0.6429,0.8667,0.4811,0.9735,0.8506,1.0
What is supervised learning and give an example of it?,Supervised learning trains an algorithm on labeled data. An example is classifying emails as spam or not spam using historical labeled emails.,Supervised learning is a type of machine learning where the algorithm is trained on labeled data. An example of supervised learning is training a model to classify emails as spam or not spam using historical labeled emails.,0.0,0.8333,0.7119,0.5263,0.678,0.359,0.9669,0.8242,1.0
What is deep learning and how does it relate to machine learning?,Deep learning is a subset of machine learning that uses neural networks with many layers to model complex patterns in data.,"Deep Learning is a subset of machine learning that uses neural networks with many layers to model complex patterns in data. It has revolutionized fields like image recognition, speech recognition, and natural language processing. Deep Learning is a more advanced and complex form of machine learning, focusing on neural networks with many layers to learn intricate patterns in data.",0.0,1.0,0.525,0.5128,0.525,0.3386,0.9621,0.8478,1.0
What neural network architecture is used for image recognition tasks?,Convolutional Neural Networks (CNNs) are widely used for image tasks.,Convolutional Neural Networks (CNNs) are widely used for image tasks.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7878,1.0
What are the key ethical concerns around artificial intelligence?,"Key AI ethics concerns include algorithmic bias, privacy issues around data collection, lack of transparency in decision-making (the black box problem), and potential job displacement due to automation.","The key ethical concerns around artificial intelligence include algorithmic bias, privacy issues, lack of transparency in decision-making, and potential job displacement due to automation.",0.0,0.7368,0.8519,0.6154,0.7778,0.4777,0.9686,0.8711,1.0
What are large language models and what can they do?,"Large language models like GPT-4 are transformer-based models trained on vast amounts of text data. They can generate coherent text, answer questions, write code, and summarize documents.","Large Language Models (LLMs) like GPT-4 are transformer-based models trained on vast amounts of text data. They can generate coherent text, answer questions, write code, and summarize documents.",0.0,1.0,0.9831,0.9474,0.9831,0.9025,0.9824,0.8002,1.0
What is the primary cause of modern climate change?,"The primary cause of modern climate change is the increase of greenhouse gases in the atmosphere, particularly carbon dioxide released through burning fossil fuels.","The primary cause of modern climate change is the increase of greenhouse gases in the atmosphere, with carbon dioxide (CO2) being the most significant, released through burning fossil fuels like coal, oil, and natural gas.",0.0,0.9412,0.7797,0.7018,0.7797,0.5527,0.9801,0.8667,1.0
By how much have global average temperatures risen since pre-industrial times?,Global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times.,Global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285,1.0
What is the greenhouse effect?,"The greenhouse effect works by trapping heat from the sun in Earth's atmosphere. Without it Earth would be too cold to support life, but excess emissions cause an enhanced greenhouse effect that is warming the planet.","The greenhouse effect works by trapping heat from the sun in Earth's atmosphere, which is essential for maintaining a suitable temperature for life on Earth.",0.0,0.4706,0.5397,0.4262,0.4762,0.3308,0.9674,0.8477,1.0
What does the Paris Agreement aim to achieve?,"The Paris Agreement, signed in 2015, committed nations to limiting warming to well below 2 degrees Celsius above pre-industrial levels, with efforts to limit it to 1.5 degrees Celsius.","The Paris Agreement aims to limit global warming to well below 2 degrees Celsius above pre-industrial levels, with efforts to limit it to 1.5 degrees Celsius.",0.0,0.75,0.8814,0.807,0.8814,0.6946,0.9757,0.812,1.0
